TIME,EURUSD,GBPUSD,AUDUSD,USDJPY,XAUUSD
2019.09.23 13:00:28,34.09,40.16,63.44,53.45,48.99
2019.09.23 13:01:09,34.09,40.16,63.44,53.45,48.99
2019.09.23 13:02:49,34.06,39.98,63.43,54.28,48.84
2019.09.23 13:08:08,34.06,39.98,63.43,54.28,48.84
2019.09.23 13:13:09,34.06,39.98,63.43,54.28,48.84
2019.09.23 13:18:08,34.06,39.98,63.43,54.28,48.84
2019.09.23 13:23:08,34.06,39.98,63.43,54.28,48.84
2019.09.23 13:28:08,34.06,39.98,63.43,54.28,48.84
2019.09.23 13:33:09,,,,,
2019.09.23 13:38:08,34.04,40.02,63.42,54.19,48.82
2019.09.23 13:43:08,34.04,40.02,63.42,54.19,48.82
2019.09.23 13:48:09,34.04,40.02,63.42,54.19,48.82
2019.09.23 13:53:08,34.04,40.02,63.42,54.19,48.82
2019.09.23 13:58:08,34.04,40.02,63.42,54.19,48.82
2019.09.23 14:03:08,33.98,39.9,63.5,54.22,48.86
2019.09.23 14:08:29,33.98,39.9,63.5,54.22,48.86
2019.09.23 14:13:08,33.98,39.9,63.5,54.22,48.86
2019.09.23 14:18:10,33.98,39.9,63.5,54.22,48.86
2019.09.23 14:23:08,33.98,39.9,63.5,54.22,48.86
2019.09.23 14:28:09,33.98,39.9,63.5,54.22,48.86
2019.09.23 14:33:08,34.21,40.79,63.49,54.38,48.88
2019.09.23 14:38:08,34.21,40.79,63.49,54.38,48.88
2019.09.23 14:43:08,34.21,40.79,63.49,54.38,48.88
2019.09.23 14:48:08,34.21,40.79,63.49,54.38,48.88
2019.09.23 14:53:08,34.21,40.79,63.49,54.38,48.88
2019.09.23 14:58:08,34.21,40.79,63.49,54.38,48.88
2019.09.23 15:03:08,34.2,40.73,63.49,53.61,48.87
2019.09.23 15:08:08,34.2,40.73,63.49,53.61,48.87
2019.09.23 15:13:08,34.2,40.73,63.49,53.61,48.87
2019.09.23 15:18:09,34.2,40.73,63.49,53.61,48.87
2019.09.23 15:23:08,34.2,40.73,63.49,53.61,48.87
2019.09.23 15:28:08,34.2,40.73,63.49,53.61,48.87
2019.09.23 15:33:08,33.94,40.76,63.5,53.54,48.93
2019.09.23 15:38:08,33.94,40.76,63.5,53.54,48.93
2019.09.23 15:43:08,33.94,40.76,63.5,53.54,48.93
2019.09.23 15:48:08,33.94,40.76,63.5,53.54,48.93
2019.09.23 15:53:08,33.94,40.76,63.5,53.54,48.93
2019.09.23 15:58:08,33.94,40.76,63.5,53.54,48.93
2019.09.23 16:03:08,34.02,40.31,63.41,52.97,48.25
2019.09.23 16:08:08,34.02,40.31,63.41,52.97,48.25
2019.09.23 16:13:09,34.02,40.31,63.41,52.97,48.25
2019.09.23 16:18:08,34.02,40.31,63.41,52.97,48.25
2019.09.23 16:23:08,34.02,40.31,63.41,52.97,48.25
2019.09.23 16:28:08,34.02,40.31,63.41,52.97,48.25
2019.09.23 16:33:08,33.92,40.3,64.15,53.26,48.74
2019.09.23 16:38:08,33.92,40.3,64.15,53.26,48.74
2019.09.23 16:43:08,33.92,40.3,64.15,53.26,48.74
2019.09.23 16:48:08,33.92,40.3,64.15,53.26,48.74
2019.09.23 16:53:08,33.92,40.3,64.15,53.26,48.74
2019.09.23 16:58:08,33.92,40.3,64.15,53.26,48.74
2019.09.23 17:03:08,33.79,40.34,64.18,53.21,48.26
2019.09.23 17:08:08,33.79,40.34,64.18,53.21,48.26
2019.09.23 17:13:12,33.79,40.34,64.18,53.21,48.26
2019.09.23 17:18:09,33.79,40.34,64.18,53.21,48.26
2019.09.23 17:23:08,33.79,40.34,64.18,53.21,48.26
2019.09.23 17:28:08,33.79,40.34,64.18,53.21,48.26
2019.09.23 17:33:08,33.93,40.06,64.56,53.5,48.05
2019.09.23 17:38:08,33.93,40.06,64.56,53.5,48.05
2019.09.23 17:43:08,33.93,40.06,64.56,53.5,48.05
2019.09.23 17:48:08,33.93,40.06,64.56,53.5,48.05
2019.09.23 17:53:08,33.93,40.06,64.56,53.5,48.05
2019.09.23 17:58:08,33.93,40.06,64.56,53.5,48.05
2019.09.23 18:03:08,33.29,39.92,64.73,53.47,48.58
2019.09.23 18:08:11,33.29,39.92,64.73,53.47,48.58
2019.09.23 18:13:09,33.29,39.92,64.73,53.47,48.58
2019.09.23 18:18:08,33.29,39.92,64.73,53.47,48.58
2019.09.23 18:23:08,33.29,39.92,64.73,53.47,48.58
2019.09.23 18:28:08,33.29,39.92,64.73,53.47,48.58
2019.09.23 18:33:08,33.25,39.89,64.53,53.24,47.88
2019.09.23 18:38:08,33.25,39.89,64.53,53.24,47.88
2019.09.23 18:43:08,33.25,39.89,64.53,53.24,47.88
2019.09.23 18:48:08,33.25,39.89,64.53,53.24,47.88
2019.09.23 18:53:08,33.25,39.89,64.53,53.24,47.88
2019.09.23 18:58:08,33.25,39.89,64.53,53.24,47.88
2019.09.23 19:03:08,33.29,39.9,64.63,53.4,47.99
2019.09.23 19:08:09,33.29,39.9,64.63,53.4,47.99
2019.09.23 19:12:09,33.29,39.9,64.63,53.4,47.99
2019.09.23 19:18:08,33.29,39.9,64.63,53.4,47.99
2019.09.23 19:23:08,33.29,39.9,64.63,53.4,47.99
2019.09.23 19:28:08,33.29,39.9,64.63,53.4,47.99
2019.09.23 19:33:08,33.27,39.89,64.76,53.39,46.71
2019.09.23 19:38:08,33.27,39.89,64.76,53.39,46.71
2019.09.23 19:43:08,33.27,39.89,64.76,53.39,46.71
2019.09.23 19:48:08,33.27,39.89,64.76,53.39,46.71
2019.09.23 19:53:08,33.27,39.89,64.76,53.39,46.71
2019.09.23 19:58:09,33.27,39.89,64.76,53.39,46.71
2019.09.23 20:03:08,33.35,39.89,64.62,53.34,46.71
2019.09.23 20:08:08,33.35,39.89,64.62,53.34,46.71
2019.09.23 20:13:08,33.35,39.89,64.62,53.34,46.71
2019.09.23 20:18:08,33.35,39.89,64.62,53.34,46.71
2019.09.23 20:23:08,33.35,39.89,64.62,53.34,46.71
2019.09.23 20:28:08,33.35,39.89,64.62,53.34,46.71
2019.09.23 20:33:08,33.32,40.04,64.56,53.43,46.6
2019.09.23 20:38:08,33.32,40.04,64.56,53.43,46.6
2019.09.23 20:43:09,33.32,40.04,64.56,53.43,46.6
2019.09.23 20:48:08,33.32,40.04,64.56,53.43,46.6
2019.09.23 20:53:08,33.32,40.04,64.56,53.43,46.6
2019.09.23 20:58:08,33.32,40.04,64.56,53.43,46.6
2019.09.23 21:03:10,33.3,40.04,64.48,53.35,46.58
2019.09.23 21:08:08,33.3,40.04,64.48,53.35,46.58
2019.09.23 21:13:08,33.3,40.04,64.48,53.35,46.58
2019.09.23 21:18:08,33.3,40.04,64.48,53.35,46.58
2019.09.23 21:23:08,33.3,40.04,64.48,53.35,46.58
2019.09.23 21:28:08,33.3,40.04,64.48,53.35,46.58
2019.09.23 21:33:08,33.32,40.17,64.47,53.41,46.82
2019.09.23 21:38:08,33.32,40.17,64.47,53.41,46.82
2019.09.23 21:43:09,33.32,40.17,64.47,53.41,46.82
2019.09.23 21:48:08,33.32,40.17,64.47,53.41,46.82
2019.09.23 21:53:09,33.32,40.17,64.47,53.41,46.82
2019.09.23 21:58:15,33.32,40.17,64.47,53.41,46.82
2019.09.23 22:03:08,33.28,40.14,64.49,53.6,46.55
2019.09.23 22:08:08,33.28,40.14,64.49,53.6,46.55
2019.09.23 22:13:08,33.28,40.14,64.49,53.6,46.55
2019.09.23 22:18:08,33.28,40.14,64.49,53.6,46.55
2019.09.23 22:23:08,33.28,40.14,64.49,53.6,46.55
2019.09.23 22:28:09,33.28,40.14,64.49,53.6,46.55
2019.09.23 22:33:08,33.26,40.14,64.49,53.19,46.53
2019.09.23 22:38:11,33.26,40.14,64.49,53.19,46.53
2019.09.23 22:43:14,33.26,40.14,64.49,53.19,46.53
2019.09.23 22:48:08,33.26,40.14,64.49,53.19,46.53
2019.09.23 22:53:08,33.26,40.14,64.49,53.19,46.53
2019.09.23 22:58:08,33.26,40.14,64.49,53.19,46.53
2019.09.23 23:03:08,33.26,40.13,64.49,53.29,46.6
2019.09.23 23:08:08,33.26,40.13,64.49,53.29,46.6
2019.09.23 23:13:08,33.26,40.13,64.49,53.29,46.6
2019.09.23 23:18:09,33.26,40.13,64.49,53.29,46.6
2019.09.23 23:23:08,33.26,40.13,64.49,53.29,46.6
2019.09.23 23:28:08,33.26,40.13,64.49,53.29,46.6
2019.09.23 23:33:08,33.27,40.13,64.51,53.43,46.6
2019.09.23 23:38:08,33.27,40.13,64.51,53.43,46.6
2019.09.23 23:43:11,33.27,40.13,64.51,53.43,46.6
2019.09.23 23:48:08,33.27,40.13,64.51,53.43,46.6
2019.09.23 23:53:08,33.27,40.13,64.51,53.43,46.6
2019.09.23 23:58:12,33.27,40.13,64.51,53.43,46.6
2019.09.24 00:03:08,33.3,40.1,64.55,53.1,46.52
2019.09.24 00:08:08,33.3,40.1,64.55,53.1,46.52
2019.09.24 00:13:08,33.3,40.1,64.55,53.1,46.52
2019.09.24 00:18:09,33.3,40.1,64.55,53.1,46.52
2019.09.24 00:23:08,33.3,40.1,64.55,53.1,46.52
2019.09.24 00:28:08,33.3,40.1,64.55,53.1,46.52
2019.09.24 00:33:08,34.9,40.71,64.09,50.76,46.33
2019.09.24 00:38:08,34.9,40.71,64.09,50.76,46.33
2019.09.24 00:43:08,34.9,40.71,64.09,50.76,46.33
2019.09.24 00:48:08,34.9,40.71,64.09,50.76,46.33
2019.09.24 00:53:08,34.9,40.71,64.09,50.76,46.33
2019.09.24 00:58:08,34.9,40.71,64.09,50.76,46.33
2019.09.24 01:03:08,34.78,40.2,63.22,50.32,46.22
2019.09.24 01:08:08,34.78,40.2,63.22,50.32,46.22
2019.09.24 01:13:08,34.78,40.2,63.22,50.32,46.22
2019.09.24 01:18:09,34.78,40.2,63.22,50.32,46.22
2019.09.24 01:23:08,34.78,40.2,63.22,50.32,46.22
2019.09.24 01:28:08,34.78,40.2,63.22,50.32,46.22
2019.09.24 01:33:08,34.58,40.19,63.16,50.41,46.2
