TIME,EURUSD,GBPUSD,USDJPY,AUDUSD,XAUUSD
2019.02.12 16:51:29,65.38,56.86,54.14,70.72,55.3
2019.02.12 16:54:00,65.38,56.86,54.14,70.72,55.3
2019.02.12 16:54:56,65.38,56.86,54.14,70.72,55.3
2019.02.12 16:55:33,65.38,56.86,54.14,70.72,55.3
2019.02.12 16:56:09,65.38,56.86,54.14,70.72,55.3
2019.02.12 16:56:46,65.38,56.86,54.14,70.72,55.3
2019.02.12 16:57:23,65.38,56.86,54.14,70.72,55.3
2019.02.12 16:58:00,65.38,56.86,54.14,70.72,55.3
2019.02.12 16:58:36,65.38,56.86,54.14,70.72,55.3
2019.02.12 16:59:13,,,,,
2019.02.12 16:59:50,65.38,56.86,54.14,70.72,55.3
2019.02.12 17:00:26,65.38,56.86,54.14,70.72,55.3
2019.02.12 17:01:03,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:01:40,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:02:17,,,,,
2019.02.12 17:02:54,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:03:30,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:04:07,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:04:44,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:05:22,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:05:59,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:06:36,,,,,
2019.02.12 17:07:14,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:07:51,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:08:30,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:09:07,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:09:44,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:10:21,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:10:58,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:11:34,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:12:11,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:12:48,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:13:25,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:14:02,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:14:39,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:15:16,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:15:52,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:16:29,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:17:06,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:17:43,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:18:20,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:18:57,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:19:33,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:20:10,65.36,56.61,54.44,70.54,55.3
2019.02.12 17:20:47,64.76,56.09,54.62,70.06,55.59
2019.02.12 17:21:24,64.76,56.09,54.62,70.06,55.59
2019.02.12 17:22:01,64.76,56.09,54.62,70.06,55.59
2019.02.12 17:22:38,64.76,56.09,54.62,70.06,55.59
2019.02.12 17:23:15,64.76,56.09,54.62,70.06,55.59
2019.02.12 17:23:52,64.76,56.09,54.62,70.06,55.59
2019.02.12 17:24:29,64.76,56.09,54.62,70.06,55.59
2019.02.12 17:25:05,64.76,56.09,54.62,70.06,55.59
2019.02.12 17:25:42,64.76,56.09,54.62,70.06,55.59
